#solver it r/r0
           6         3.4034601813E+00    4.6871607085E-06
           7         7.0408127048E+00    9.6964321332E-06
           8         1.4815167668E-01    2.0403080420E-07
           9         4.1569311055E-09    5.7248221245E-15
          10         1.2957519917E-09    1.7844774141E-15
          11         6.5037034220E-11    8.9567385883E-17
          12         1.1838970538E-09    1.6304335759E-15
          13         5.4955008711E-10    7.5682671119E-16
          14         9.0609230883E-11    1.2478477908E-16
          15         3.8849808471E-13    5.3502989927E-19
          16         1.2991286605E-12    1.7891276785E-18
          17         5.9308307377E-13    8.1677925764E-19
          18         4.5229175127E-14    6.2288495014E-20
step       14 0.140000E+05
nlit      1
           1         4.1757007828E+05    4.9225515597E-01
           2         4.0304680927E+05    4.7513430745E-01
           3         1.0122067003E+03    1.1932463388E-03
           4         6.1266127605E+02    7.2223966152E-04
           5         3.7444505365E+03    4.4141694502E-03
           6         1.1268492988E+00    1.3283934989E-06
           7         2.3103722352E+00    2.7235970778E-06
           8         4.8586060250E-02    5.7275987696E-08
           9         2.1509333558E-09    2.5356415356E-15
          10         4.6748456634E-10    5.5109716927E-16
          11         1.2322426661E-10    1.4526371437E-16
          12         3.5183168428E-09    4.1475902999E-15
          13         7.0636681777E-10    8.3270503836E-16
          14         8.4594869599E-12    9.9725202772E-18
          15         7.1622077727E-12    8.4432144150E-18
          16         9.5419279946E-12    1.1248562810E-17
          17         2.5247748704E-12    2.9763469948E-18
          18         9.8697361360E-15    1.1635001533E-20
step       15 0.150000E+05
nlit      1
           1         4.5133811070E+05    4.5548099578E-01
           2         4.3564954569E+05    4.3964842361E-01
           3         5.5337961250E+02    5.5845914841E-04
           4         3.3492604025E+02    3.3800036538E-04
           5         2.0463714046E+03    2.0651552861E-03
           6         3.6576086847E-01    3.6911823008E-07
           7         7.5732977080E-01    7.6428138896E-07
           8         1.5931012175E-02    1.6077244791E-08
           9         2.5499177919E-09    2.5733237843E-15
          10         5.4564925965E-10    5.5065783775E-16
          11         5.6548876485E-11    5.7067945208E-17
          12         5.0951742217E-11    5.1419434193E-17
          13         4.0092762363E-11    4.0460778498E-17
          14         6.8592707172E-12    6.9222327620E-18
          15         2.9021698521E-13    2.9288092071E-19
          16         1.0532853054E-12    1.0629535339E-18
          17         3.4646513927E-13    3.4964538314E-19
          18         7.9811419323E-15    8.0544017635E-21
step       16 0.160000E+05
nlit      1
           1         4.8781193044E+05    4.2145012994E-01
           2         4.7086084354E+05    4.0680506423E-01
           3         3.0249637131E+02    2.6134484837E-04
           4         1.8308788039E+02    1.5818065563E-04
           5         1.1185252161E+03    9.6636135415E-04
           6         1.2047582955E-01    1.0408633092E-07
           7         2.4837458122E-01    2.1458577168E-07
           8         5.2237196294E-03    4.5130862514E-09
           9         2.7003230072E-09    2.3329718099E-15
          10         8.7930032885E-10    7.5968055459E-16
          11         5.1935087832E-10    4.4869852805E-16
          12         1.6998099989E-09    1.4685683154E-15
          13         9.1809710748E-10    7.9319943015E-16
          14         2.8690869826E-11    2.4787771806E-17
          15         1.1159840176E-12    9.6416585960E-19
          16         7.1458593732E-13    6.1737386346E-19
          17         4.1872688021E-13    3.6176339089E-19
          18         2.4653326339E-15    2.1299494622E-21
step       17 0.170000E+05
nlit      1
           1         5.2721984974E+05    3.8996007474E-01
           2         5.0890234474E+05    3.7641146570E-01
           3         1.6535671292E+02    1.2230669266E-04
           4         1.0008116254E+02    7.4025394990E-05
           5         6.1138648490E+02    4.5221423181E-04
           6         3.9371926718E-02    2.9121588447E-08
           7         8.1427688187E-02    6.0228285006E-08
           8         1.7127463700E-03    1.2668390668E-09
           9         8.3290093867E-10    6.1605820124E-16
          10         2.8767277185E-10    2.1277820944E-16
          11         1.1487429890E-09    8.4967191975E-16
          12         5.2242302445E-09    3.8641208550E-15
          13         7.1707720024E-10    5.3038875288E-16
          14         1.1918651668E-11    8.8156739497E-18
          15         7.2312969791E-13    5.3486550475E-19
          16         3.7967213630E-13    2.8082587315E-19
          17         2.4330557520E-13    1.7996185147E-19
          18         3.7292497164E-16    2.7583530833E-22
step       18 0.180000E+05
nlit      1
           1         5.6980399001E+05    3.6082208614E-01
           2         5.5000860996E+05    3.4828688026E-01
           3         9.0386931000E+01    5.7236526200E-05
           4         5.4706779317E+01    3.4642464049E-05
           5         3.3419215633E+02    2.1162349357E-04
           6         1.2932153608E-02    8.1891435032E-09
           7         2.6700477999E-02    1.6907782924E-08
           8         5.6158189859E-04    3.5561553752E-10
           9         4.4394215391E-09    2.8112146792E-15
          10         1.3366805628E-09    8.4643820967E-16
          11         2.1702826725E-10    1.3743075428E-16
          12         3.2130046276E-09    2.0345997094E-15
          13         5.3194058332E-10    3.3684550186E-16
          14         1.1070521278E-10    7.0102853824E-17
          15         3.7217420367E-13    2.3567520574E-19
          16         1.2473517647E-13    7.8987173443E-20
step       19 0.190000E+05
nlit      1
           1         6.1582369953E+05    3.3386092188E-01
           2         5.9443047086E+05    3.2226285729E-01
           3         4.9407455174E+01    2.6785618262E-05
           4         2.9903692573E+01    1.6211903468E-05
           5         1.8267344125E+02    9.9034063719E-05
           6         4.2353077739E-03    2.2961177995E-09
           7         8.7540167515E-03    4.7458779275E-09
           8         1.8412849522E-04    9.9822902569E-11
           9         1.8016180030E-08    9.7672409784E-15
          10         4.1128834113E-09    2.2297470012E-15
          11         9.7198020672E-11    5.2694660520E-17
          12         5.5766067892E-10    3.0232858609E-16
          13         5.3187085708E-09    2.8834696489E-15
          14         9.0127457268E-11    4.8861445237E-17
          15         2.6210382155E-13    1.4209622585E-19
          16         9.3503381422E-14    5.0691659227E-20
step       20 0.200000E+05
nlit      1
           1         6.6555796243E+05    3.0891415934E-01
           2         6.4243750269E+05    2.9818295667E-01
           3         2.7006830631E+01    1.2535035041E-05
           4         1.6345859726E+01    7.5868185808E-06
           5         9.9852010631E+01    4.6345625270E-05
           6         1.3895491873E-03    6.4494971631E-10
           7         2.8703893871E-03    1.3322715294E-09
           8         6.0386885663E-05    2.8028158437E-11
           9         1.5587032336E-08    7.2346140567E-15
          10         6.2537250103E-09    2.9026235330E-15
          11         7.9872121694E-11    3.7072096978E-17
          12         3.9687459756E-11    1.8420661999E-17
          13         5.3137673584E-10    2.4663486414E-16
          14         2.3269437040E-10    1.0800349462E-16
          15         1.9873790148E-13    9.2242832676E-20
          16         1.0598856451E-13    4.9193864625E-20
step       21 0.210000E+05
nlit      1
           1         7.1930759804E+05    2.8583138683E-01
           2         6.9432023121E+05    2.7590215248E-01
           3         1.4762374215E+01    5.8661272401E-06
           4         8.9348902590E+00    3.5504589148E-06
           5         5.4580469061E+01    2.1688650597E-05
           6         4.5543824746E-04    1.8097757655E-10
           7         9.4114086516E-04    3.7398131123E-10
           8         1.9795846903E-05    7.8662791679E-12
           9         4.5423111760E-09    1.8049789915E-15
          10         1.1600089277E-09    4.6095295176E-16
          11         2.3365490730E-10    9.2847491639E-17
